constructor_name,total_points,wins,podiums,avg_finish,avg_position_gain,points_rank
LEC,0.0,0,0,21.8,4.0,81.0
Lambo,0.0,0,0,28.125,5.0,81.0
Lancia,9.0,0,1,12.0,-5.090909090909091,72.0
Langley,0.0,0,0,16.0,15.0,81.0
Larrousse,22.0,0,1,16.587962962962962,2.442786069651741,61.0
Lesovsky,10.0,0,1,16.933333333333334,-0.8,70.0
Leyton House,8.0,0,1,17.453125,-1.1379310344827587,73.0
Life,0.0,0,0,34.214285714285715,,81.0
Ligier,388.0,9,50,13.656301145662848,1.535405872193437,18.0
Lola,27.0,0,2,16.47878787878788,2.627586206896552,57.0
Lotus,0.0,0,0,17.973684210526315,0.8026315789473685,81.0
Lotus F1,706.0,2,25,11.311688311688311,-0.4935064935064935,11.0
Lotus-BRM,29.0,1,2,13.991735537190083,1.1372549019607843,56.0
Lotus-Borgward,0.0,0,0,28.5,,81.0
Lotus-Climax,281.0,22,31,13.270386266094421,-0.3089005235602094,27.0
Lotus-Ford,209.0,11,25,9.8984375,-1.416,30.0
Lotus-Maserati,0.0,0,0,24.0,15.0,81.0
Lotus-Pratt &amp; Whitney,0.0,0,0,14.333333333333334,5.333333333333333,81.0
Lyncar,0.0,0,0,24.0,9.0,81.0
MBM,0.0,0,0,30.0,,81.0
MF1,0.0,0,0,15.75,2.0357142857142856,81.0
Maki,0.0,0,0,28.25,,81.0
Manor Marussia,1.0,0,0,16.923076923076923,1.7142857142857142,80.0
March,148.0,3,16,16.2881679389313,1.342920353982301,34.0
March-Alfa Romeo,0.0,0,0,15.2,4.6,81.0
March-Ford,37.0,0,5,13.767441860465116,3.2195121951219514,53.0
Marchese,0.0,0,0,15.5,2.0,81.0
Martini,0.0,0,0,17.375,10.2,81.0
Marussia,2.0,0,0,17.642201834862384,2.388888888888889,79.0
Maserati,313.14,9,40,11.81651376146789,1.4439024390243902,21.0
Matra,54.0,0,6,10.464788732394366,-0.1,44.0
Matra-Ford,130.0,9,15,5.65,1.15,37.0
McGuire,0.0,0,0,35.0,,81.0
McLaren,7022.5,185,508,9.498179927197087,-1.3203577064702787,4.0
McLaren-Alfa Romeo,0.0,0,0,18.454545454545453,0.2,81.0
McLaren-BRM,6.0,0,0,12.571428571428571,0.6923076923076923,75.0
McLaren-Ford,143.0,4,16,8.931034482758621,0.45348837209302323,35.0
McLaren-Serenissima,1.0,0,0,11.0,7.0,80.0
Mercedes,7730.64,129,298,5.97239263803681,-0.9152542372881356,2.0
Merzario,0.0,0,0,24.625,3.7,81.0
Meskowski,0.0,0,0,12.0,11.0,81.0
Milano,0.0,0,0,27.0,-4.0,81.0
Minardi,38.0,0,0,15.833333333333334,3.500780031201248,52.0
Moore,0.0,0,0,8.0,7.666666666666667,81.0
